Tipo_Registro;Nr_Contrato;Dt_Vencimento;Tipo_Parcela;Nr_Parcela;Vl_Original;Vl_Saldo;Vl_Tarifa;Cliente;Dt_Inclusao;Dt_Devolucao;Dt_Inibicao;Motivo;Dt_Notificacao;Marcar_Dt_Lote;Dt_Lote;Documento;
7;000067852-2;29/10/2017;0;1;3.666,63;3.666,63;;3217;;13/12/2017;;61;;;;;
7;000067859-2;10/11/2017;0;3;1.553,36;1.553,36;;3215;;13/12/2017;;61;;;;;
7;000067879-2;29/10/2017;0;1;372,50;372,50;;3215;;13/12/2017;;61;;;;;
7;000067883-2;14/10/2017;0;1;500,00;500,00;;3215;;13/12/2017;;61;;;;;
7;000067907-2;29/10/2017;0;1;728,73;728,73;;3215;;13/12/2017;;61;;;;;
7;000067925-2;29/10/2017;0;1;1.538,50;1.538,50;;3215;;13/12/2017;;61;;;;;
7;000067927-2;29/10/2017;0;1;3.900,00;3.900,00;;3216;;13/12/2017;;61;;;;;
7;000067943-2;27/10/2017;0;1;3.780,00;3.780,00;;3216;;13/12/2017;;61;;;;;
7;000067946-2;27/10/2017;0;1;9.195,00;9.195,00;;3215;;13/12/2017;;61;;;;;
7;000067988-2;06/11/2017;0;1;4.428,00;4.428,00;;3215;;13/12/2017;;61;;;;;
7;000068008-2;03/10/2017;0;1;1.392,00;1.392,00;;3216;;13/12/2017;;61;;;;;
7;000068014-2;18/10/2017;0;1;225,32;225,32;;3215;;13/12/2017;;61;;;;;
7;000068014-2;02/11/2017;0;2;225,32;225,32;;3215;;13/12/2017;;61;;;;;
7;000068020-2;02/11/2017;0;1;10.920,00;10.920,00;;3215;;13/12/2017;;61;;;;;
7;000068023-2;24/10/2017;0;1;5.700,00;5.700,00;;3215;;13/12/2017;;61;;;;;
7;000068023-2;31/10/2017;0;2;5.700,00;5.700,00;;3215;;13/12/2017;;61;;;;;
7;000068042-2;18/10/2017;0;1;948,20;948,20;;3215;;13/12/2017;;61;;;;;
7;000068052-2;03/10/2017;0;1;2.133,30;2.133,30;;3215;;13/12/2017;;61;;;;;
7;000068057-2;02/11/2017;0;1;2.250,01;2.250,01;;3216;;13/12/2017;;61;;;;;
7;000068084-2;04/10/2017;0;1;778,88;778,88;;3215;;13/12/2017;;61;;;;;
7;000068089-2;03/11/2017;0;1;2.140,00;2.140,00;;3217;;13/12/2017;;61;;;;;
7;000068091-2;03/11/2017;0;1;2.380,00;2.380,00;;3216;;13/12/2017;;61;;;;;
7;000068099-2;04/10/2017;0;1;45.429,00;45.429,00;;3218;;13/12/2017;;61;;;;;
7;000068105-2;03/11/2017;0;2;959,96;959,96;;3217;;13/12/2017;;61;;;;;
7;000068160-2;20/10/2017;0;1;540,00;540,00;;3215;;13/12/2017;;61;;;;;
7;000068160-2;04/11/2017;0;2;540,00;540,00;;3215;;13/12/2017;;61;;;;;
7;000068161-2;04/11/2017;0;1;933,32;933,32;;3215;;13/12/2017;;61;;;;;
7;000068168-2;04/11/2017;0;1;795,00;795,00;;3215;;13/12/2017;;61;;;;;
7;000068176-2;04/11/2017;0;1;3.150,16;3.150,16;;3215;;13/12/2017;;61;;;;;
7;000068239-2;03/11/2017;0;1;12.000,00;12.000,00;;3215;;13/12/2017;;61;;;;;
7;000068241-2;05/11/2017;0;1;876,82;876,82;;3216;;13/12/2017;;61;;;;;
7;000068245-2;21/10/2017;0;1;1.099,00;1.099,00;;3215;;13/12/2017;;61;;;;;
7;000068258-2;05/11/2017;0;1;7.210,00;7.210,00;;3215;;13/12/2017;;61;;;;;
7;000068262-2;13/10/2017;0;1;1.800,00;1.800,00;;3215;;13/12/2017;;61;;;;;
7;000068281-2;05/11/2017;0;1;1.697,32;1.697,32;;3215;;13/12/2017;;61;;;;;
7;000068295-2;08/11/2017;0;2;1.161,04;1.161,04;;3215;;13/12/2017;;61;;;;;
7;000068307-2;09/10/2017;0;1;875,40;875,40;;3215;;13/12/2017;;61;;;;;
7;000068326-2;08/11/2017;0;1;3.010,00;3.010,00;;3215;;13/12/2017;;61;;;;;
7;000068354-2;09/11/2017;0;1;1.691,28;1.691,28;;3215;;13/12/2017;;61;;;;;
7;000068364-2;07/11/2017;0;2;241,63;241,63;;3217;;13/12/2017;;61;;;;;
7;000068371-2;09/11/2017;0;1;1.309,20;1.309,20;;3215;;13/12/2017;;61;;;;;
7;000068379-2;10/10/2017;0;1;1.407,65;1.407,65;;3215;;13/12/2017;;61;;;;;
7;000068381-2;25/10/2017;0;1;1.465,65;1.465,65;;3216;;13/12/2017;;61;;;;;
7;000068381-2;09/11/2017;0;2;1.465,65;1.465,65;;3216;;13/12/2017;;61;;;;;
7;000068411-2;11/10/2017;0;1;1.867,26;1.867,26;;3215;;13/12/2017;;61;;;;;
7;000068412-2;08/11/2017;0;1;840,00;840,00;;3216;;13/12/2017;;61;;;;;
7;000068419-2;10/11/2017;0;1;1.356,18;1.356,18;;3215;;13/12/2017;;61;;;;;
7;000068435-2;10/11/2017;0;1;1.496,31;1.496,31;;3215;;13/12/2017;;61;;;;;
7;000068458-2;10/11/2017;0;2;1.146,11;1.146,11;;3215;;13/12/2017;;61;;;;;
7;000068463-2;10/11/2017;0;1;4.996,62;4.996,62;;3215;;13/12/2017;;61;;;;;
7;000068466-2;11/10/2017;0;1;7.225,00;7.225,00;;3218;;13/12/2017;;61;;;;;
7;000068480-2;08/11/2017;0;2;218,41;218,41;;3215;;13/12/2017;;61;;;;;
7;000068582-2;31/10/2017;0;1;217,90;217,90;;3215;;13/12/2017;;61;;;;;
7;000068634-2;01/11/2017;0;1;1.463,32;1.463,32;;3216;;13/12/2017;;61;;;;;
7;000068652-2;01/11/2017;0;1;1.041,80;1.041,80;;3216;;13/12/2017;;61;;;;;
7;000068659-2;17/10/2017;0;1;596,30;596,30;;3217;;13/12/2017;;61;;;;;
7;000068669-2;02/11/2017;0;1;530,62;530,62;;3215;;13/12/2017;;61;;;;;
7;000068704-2;02/11/2017;0;1;581,14;581,14;;3215;;13/12/2017;;61;;;;;
7;000068737-2;19/10/2017;0;1;8.706,90;8.706,90;;3215;;13/12/2017;;61;;;;;
7;000068776-2;19/10/2017;0;1;770,00;770,00;;3215;;13/12/2017;;61;;;;;
7;000068780-2;19/10/2017;0;1;988,93;988,93;;3215;;13/12/2017;;61;;;;;
